episode,reward,epsilon,Max Future Q-value,Action,State
96,-390,0.8828831360300736,-0.34650321454755506,Daignose for ArterialpH level,Non ideal ArterialpH level
97,-384,0.8827065594028676,-1.956882531715236,Daignose for ArterialpH level,Non ideal ArterialpH level
98,-200,0.882530018090987,-1.023150723472214,Daignose for SpO2 and FiO2, 
99,12,0.8823535120873688,-0.674636367604263, ,Non ideal SpO2 and FiO2
100,-25,0.8821770413849513,-1.5519290991668,Daignose for ArterialpH level, 
101,-353,0.8820006059766744,-0.27854401730384826, , 
102,-42,0.881824205855479,-0.46721562332707745, , 
103,-302,0.8816478410143079,-0.9822210839878895,Daignose for SpO2 and FiO2, 
104,-401,0.8814715114461051,-0.07640204513697046,Daignose for SpO2 and FiO2,Non ideal heartRate
105,-300,0.881295217143816,-0.0024175823066237, , 
106,-68,0.8811189581003872,-0.5509281669025912,Daignose for ArterialpH level,Non ideal heartRate
107,-330,0.8809427343087671,-1.7433413454095472, , 
108,-362,0.8807665457619054,-0.9974193859504918,Daignose for heartRate,Non ideal heartRate
109,-97,0.8805903924527531,-0.03657347265815325,Daignose for SpO2 and FiO2,Non ideal heartRate
110,-100,0.8804142743742626,-1.03544851709428, , 
111,-371,0.8802381915193878,-1.8643645704983776,Daignose for ArterialpH level,Non ideal ArterialpH level
112,-345,0.880062143881084,-1.1794768940306084,Daignose for heartRate,Non ideal ArterialpH level
113,-485,0.8798861314523078,-0.6315085193076229,Daignose for ArterialpH level,Non ideal heartRate
114,-200,0.8797101542260173,-1.0254363985246213,Daignose for SpO2 and FiO2,Non ideal heartRate
115,-319,0.8795342121951721,-0.440050268372179,Daignose for SpO2 and FiO2,Non ideal ArterialpH level
116,24,0.8793583053527331,-0.3392582381493874, ,Non ideal SpO2 and FiO2
117,-55,0.8791824336916625,-2.2849178823893723,Daignose for ArterialpH level,Non ideal ArterialpH level
118,8,0.8790065972049241,-0.9408717698756455, ,Non ideal SpO2 and FiO2
119,-330,0.8788307958854832,-0.0024175823066237,Daignose for heartRate,Non ideal heartRate
120,-200,0.8786550297263062,-1.2160826751351066,Daignose for SpO2 and FiO2, 
121,-332,0.8784792987203609,-0.26536504380836057, ,Non ideal SpO2 and FiO2
122,2,0.8783036028606168,-0.03657347265815325, ,Non ideal ArterialpH level
123,-39,0.8781279421400447,-0.14788196940342413,Daignose for SpO2 and FiO2, 
124,1,0.8779523165516168,-0.36833008802195,Daignose for heartRate, 
125,-395,0.8777767260883065,-0.4780098373276811,Daignose for ArterialpH level,Non ideal heartRate
126,-405,0.8776011707430889,-1.5077600056807619,Daignose for heartRate,Non ideal SpO2 and FiO2
127,-335,0.8774256505089403,-1.6254122633152916,Daignose for heartRate,Non ideal ArterialpH level
128,-312,0.8772501653788385,-0.605738751781761,Daignose for heartRate, 
129,-41,0.8770747153457628,-0.03657347265815325, ,Non ideal ArterialpH level
130,-200,0.8768993004026936,-0.607905713355894,Daignose for ArterialpH level, 
131,-388,0.876723920542613,-1.554187964560529,Daignose for heartRate, 
132,21,0.8765485757585045,-2.79778120563646, ,Non ideal SpO2 and FiO2
133,23,0.8763732660433529,-1.03544851709428,Daignose for ArterialpH level,Non ideal heartRate
134,-19,0.8761979913901442,-1.082784793245878, ,Non ideal SpO2 and FiO2
135,-17,0.8760227517918662,-0.2644169665566274,Daignose for heartRate,Non ideal Maintain heartRate
136,-59,0.8758475472415078,-0.8875960642576199,Daignose for ArterialpH level, 
137,-325,0.8756723777320595,-0.18370629602439248, ,Non ideal SpO2 and FiO2
138,-485,0.8754972432565131,-0.32250114998513535,Daignose for ArterialpH level,Non ideal heartRate
139,-432,0.8753221438078619,-2.2310185021943205,Daignose for heartRate,Non ideal heartRate
140,-365,0.8751470793791003,-0.199399047062375,Daignose for ArterialpH level,Non ideal heartRate
141,-4,0.8749720499632245,-0.14788196940342413,Daignose for SpO2 and FiO2, 
142,-457,0.874797055553232,-4.143069916515448,Daignose for heartRate, 
143,-200,0.8746220961421213,-0.8698685392979453, , 
144,3,0.8744471717228929,-0.5089904775687168, ,Non ideal ArterialpH level
145,16,0.8742722822885484,-1.0922247858430252,Daignose for heartRate,Non ideal ArterialpH level
146,4,0.8740974278320907,-0.25045924742757997, ,Non ideal ArterialpH level
147,-398,0.8739226083465242,-1.3158757619302563,Daignose for ArterialpH level,Non ideal ArterialpH level
148,-19,0.8737478238248549,-0.28717762890179,Daignose for SpO2 and FiO2,Non ideal heartRate
149,-200,0.87357307426009,-1.8296408406474207,Daignose for SpO2 and FiO2,Non ideal heartRate
150,-314,0.873398359645238,-1.3600572197952654,Daignose for heartRate,Non ideal SpO2 and FiO2
151,-301,0.873223679973309,-1.1756460219032234,Daignose for SpO2 and FiO2,Non ideal ArterialpH level
152,-200,0.8730490352373144,-0.6333996978085737,Daignose for ArterialpH level,Non ideal ArterialpH level
153,-351,0.8728744254302669,-0.20296913296925467, ,Non ideal SpO2 and FiO2
154,-200,0.872699850545181,-1.7340189651694726,Daignose for ArterialpH level,Non ideal ArterialpH level
155,-457,0.872525310575072,-0.1616942932329497,Daignose for heartRate, 
156,-10,0.872350805512957,-0.1168756744022108,Daignose for ArterialpH level,Non ideal heartRate
157,-300,0.8721763353518543,-0.6871679558943935,Daignose for SpO2 and FiO2,Non ideal heartRate
158,24,0.872001900084784,-0.45382650284922654,Daignose for ArterialpH level,Non ideal heartRate
159,-24,0.871827499704767,-0.07364639048390931, , 
160,11,0.871653134204826,-1.061105739636199, , 
161,-200,0.8714788035779851,-0.18831472865601828,Daignose for heartRate,Non ideal SpO2 and FiO2
162,-116,0.8713045078172695,-0.9600124327966642, ,Non ideal heartRate
163,-200,0.8711302469157061,-0.48746934946626386,Daignose for ArterialpH level,Non ideal heartRate
164,-405,0.870956020866323,-0.03329906782756176,Daignose for SpO2 and FiO2,Non ideal SpO2 and FiO2
165,-125,0.8707818296621497,-3.7925624516111034,Daignose for SpO2 and FiO2, 
166,-200,0.8706076732962172,-2.6791734291165064, ,Non ideal SpO2 and FiO2
167,-200,0.870433551761558,-1.325094171529826,Daignose for SpO2 and FiO2,Non ideal heartRate
168,-31,0.8702594650512058,-1.8636112878960462,Daignose for ArterialpH level,Non ideal ArterialpH level
169,-313,0.8700854131581955,-0.7426107153640906, ,Non ideal SpO2 and FiO2
170,-382,0.8699113960755639,-0.6612619255054248,Daignose for ArterialpH level,Non ideal heartRate
171,-20,0.8697374137963488,-1.8412050525864565,Daignose for heartRate,Non ideal SpO2 and FiO2
172,-200,0.8695634663135896,-0.9000666339508671,Daignose for heartRate,Non ideal Maintain heartRate
173,-342,0.8693895536203269,-0.175669679329439,Daignose for ArterialpH level,Non ideal ArterialpH level
174,-87,0.8692156757096028,-0.2734995363618884,Daignose for heartRate, 
175,-99,0.8690418325744609,-2.2351384182362066,Daignose for SpO2 and FiO2, 
176,-417,0.868868024207946,-2.3101228727984036,Daignose for ArterialpH level, 
177,0,0.8686942506031043,-1.6895847492234184,Daignose for ArterialpH level, 
178,-384,0.8685205117529837,-0.8915006969156121,Daignose for heartRate,Non ideal Maintain heartRate
179,-33,0.8683468076506331,-0.28060111082477945,Daignose for heartRate,Non ideal heartRate
180,-60,0.868173138289103,-1.3544047971068918,Daignose for ArterialpH level,Non ideal ArterialpH level
181,-397,0.8679995036614452,-1.6431774231330323,Daignose for heartRate,Non ideal heartRate
182,-403,0.8678259037607129,-1.7175282600044945,Daignose for ArterialpH level, 
183,-200,0.8676523385799607,-0.5637761366079945,Daignose for ArterialpH level,Non ideal ArterialpH level
184,-329,0.8674788081122448,-0.1842999555258178, ,Non ideal ArterialpH level
185,12,0.8673053123506224,-0.06372940816150585,Daignose for heartRate,Non ideal heartRate
186,-200,0.8671318512881523,-1.968582469852995,Daignose for SpO2 and FiO2,Non ideal SpO2 and FiO2
187,-22,0.8669584249178947,-0.5669204422599856,Daignose for SpO2 and FiO2,Non ideal SpO2 and FiO2
188,-310,0.8667850332329111,-1.0557353948429005,Daignose for heartRate,Non ideal heartRate
189,-380,0.8666116762262646,-1.8244740412297347,Daignose for heartRate, 
190,-123,0.8664383538910193,-0.6460323892620643,Daignose for ArterialpH level,Non ideal SpO2 and FiO2
191,25,0.8662650662202411,-1.082784793245878,Daignose for heartRate,Non ideal SpO2 and FiO2
192,-165,0.8660918132069971,-0.411790193469038,Daignose for SpO2 and FiO2,Non ideal SpO2 and FiO2
193,-22,0.8659185948443557,-0.6883069896808918, , 
194,-378,0.8657454111253868,-0.6364754429291306,Daignose for heartRate,Non ideal heartRate
195,-432,0.8655722620431617,-0.3041611459063063,Daignose for SpO2 and FiO2,Non ideal SpO2 and FiO2
196,-73,0.8653991475907531,-0.28717762890179,Daignose for SpO2 and FiO2,Non ideal heartRate
197,-119,0.865226067761235,-1.2173039452072851,Daignose for ArterialpH level, 
198,-42,0.8650530225476828,-0.8107826555754016,Daignose for SpO2 and FiO2,Non ideal ArterialpH level
199,-129,0.8648800119431733,-0.2820069045410065,Daignose for heartRate,Non ideal Maintain heartRate
